# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.690690691    0.071573567    0.071573554    0.071573458
    0.695695696    0.072152661    0.072152648    0.072152551
    0.700700701    0.072733149    0.072733136    0.072733039
    0.705705706    0.073315046    0.073315033    0.073314935
    0.710710711    0.073898364    0.073898351    0.073898252
    0.715715716    0.074483118    0.074483104    0.074483004
    0.720720721    0.075069320    0.075069306    0.075069206
    0.725725726    0.075656984    0.075656970    0.075656869
    0.730730731    0.076246124    0.076246110    0.076246008
    0.735735736    0.076836753    0.076836740    0.076836637
    0.740740741    0.077428887    0.077428873    0.077428769
    0.745745746    0.078022537    0.078022523    0.078022419
    0.750750751    0.078617720    0.078617706    0.078617601
    0.755755756    0.079214448    0.079214433    0.079214328
    0.760760761    0.079812736    0.079812721    0.079812615
    0.765765766    0.080412598    0.080412583    0.080412476
    0.770770771    0.081014048    0.081014034    0.081013926
    0.775775776    0.081617102    0.081617088    0.081616979
    0.780780781    0.082221774    0.082221759    0.082221649
    0.785785786    0.082828078    0.082828063    0.082827952
    0.790790791    0.083436029    0.083436014    0.083435903
    0.795795796    0.084045642    0.084045627    0.084045515
    0.800800801    0.084656932    0.084656917    0.084656804
    0.805805806    0.085269914    0.085269899    0.085269785
    0.810810811    0.085884603    0.085884588    0.085884474
    0.815815816    0.086501015    0.086501000    0.086500885
    0.820820821    0.087119165    0.087119149    0.087119033
    0.825825826    0.087739068    0.087739052    0.087738936
    0.830830831    0.088360740    0.088360724    0.088360607
    0.835835836    0.088984196    0.088984181    0.088984062
    0.840840841    0.089609453    0.089609438    0.089609319
    0.845845846    0.090236527    0.090236511    0.090236391
    0.850850851    0.090865432    0.090865416    0.090865296
    0.855855856    0.091496186    0.091496170    0.091496049
    0.860860861    0.092128805    0.092128789    0.092128667
    0.865865866    0.092763305    0.092763289    0.092763166
    0.870870871    0.093399703    0.093399686    0.093399562
    0.875875876    0.094038014    0.094037998    0.094037873
    0.880880881    0.094678256    0.094678240    0.094678114
    0.885885886    0.095320446    0.095320430    0.095320303
    0.890890891    0.095964600    0.095964584    0.095964457
    0.895895896    0.096610736    0.096610720    0.096610592
    0.900900901    0.097258871    0.097258854    0.097258726
    0.905905906    0.097909022    0.097909005    0.097908876
    0.910910911    0.098561206    0.098561189    0.098561059
    0.915915916    0.099215442    0.099215425    0.099215294
    0.920920921    0.099871746    0.099871729    0.099871597
    0.925925926    0.100530137    0.100530120    0.100529987
    0.930930931    0.101190632    0.101190615    0.101190481
    0.935935936    0.101853250    0.101853233    0.101853098
    0.940940941    0.102518009    0.102517991    0.102517856
    0.945945946    0.103184927    0.103184909    0.103184773
    0.950950951    0.103854022    0.103854005    0.103853868
    0.955955956    0.104525314    0.104525297    0.104525159
    0.960960961    0.105198821    0.105198803    0.105198665
    0.965965966    0.105874562    0.105874544    0.105874405
    0.970970971    0.106552556    0.106552538    0.106552398
    0.975975976    0.107232823    0.107232805    0.107232663
    0.980980981    0.107915381    0.107915362    0.107915220
    0.985985986    0.108600250    0.108600231    0.108600088
    0.990990991    0.109287449    0.109287431    0.109287287
    0.995995996    0.109977000    0.109976981    0.109976837
    1.001001001    0.110668921    0.110668902    0.110668757
    1.006006006    0.111363232    0.111363214    0.111363067
    1.011011011    0.112059955    0.112059936    0.112059789
    1.016016016    0.112759109    0.112759090    0.112758942
    1.021021021    0.113460715    0.113460696    0.113460547
    1.026026026    0.114164793    0.114164774    0.114164625
    1.031031031    0.114871366    0.114871347    0.114871196
    1.036036036    0.115580453    0.115580434    0.115580282
    1.041041041    0.116292076    0.116292056    0.116291904
    1.046046046    0.117006256    0.117006237    0.117006084
    1.051051051    0.117723016    0.117722997    0.117722842
    1.056056056    0.118442376    0.118442357    0.118442202
    1.061061061    0.119164360    0.119164340    0.119164184
    1.066066066    0.119888988    0.119888968    0.119888812
    1.071071071    0.120616284    0.120616264    0.120616106
    1.076076076    0.121346269    0.121346249    0.121346091
    1.081081081    0.122078967    0.122078947    0.122078788
    1.086086086    0.122814401    0.122814381    0.122814220
    1.091091091    0.123552593    0.123552573    0.123552411
    1.096096096    0.124293566    0.124293546    0.124293384
    1.101101101    0.125037345    0.125037325    0.125037162
    1.106106106    0.125783953    0.125783933    0.125783769
    1.111111111    0.126533414    0.126533394    0.126533229
    1.116116116    0.127285752    0.127285731    0.127285565
    1.121121121    0.128040990    0.128040970    0.128040803
    1.126126126    0.128799155    0.128799134    0.128798966
    1.131131131    0.129560269    0.129560249    0.129560080
    1.136136136    0.130324359    0.130324338    0.130324169
    1.141141141    0.131091449    0.131091428    0.131091258
    1.146146146    0.131861565    0.131861544    0.131861373
    1.151151151    0.132634732    0.132634711    0.132634539
    1.156156156    0.133410976    0.133410955    0.133410782
    1.161161161    0.134190324    0.134190302    0.134190128
    1.166166166    0.134972800    0.134972779    0.134972604
    1.171171171    0.135758432    0.135758411    0.135758235
    1.176176176    0.136547247    0.136547226    0.136547048
    1.181181181    0.137339271    0.137339250    0.137339071
    1.186186186    0.138134531    0.138134510    0.138134331
    1.191191191    0.138933056    0.138933035    0.138932854
    1.196196196    0.139734872    0.139734851    0.139734670
    1.201201201    0.140540008    0.140539987    0.140539805
    1.206206206    0.141348492    0.141348470    0.141348287
    1.211211211    0.142160352    0.142160330    0.142160146
