# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    10.130689433   10.130689637   10.130687534
    1.071071071   11.360703369   11.360680958   11.360604597
    1.076076076   11.366740454   11.366718041   11.366641673
    1.081081081   11.372813990   11.372791576   11.372715200
    1.086086086   11.378924112   11.378901697   11.378825313
    1.091091091   11.385070957   11.385048541   11.384972149
    1.096096096   11.391254662   11.391232245   11.391155845
    1.101101101   11.397475366   11.397452948   11.397376539
    1.106106106   11.403733207   11.403710788   11.403634372
    1.111111111   11.410028328   11.410005908   11.409929483
    1.116116116   11.416360869   11.416338449   11.416262015
    1.121121121   11.422730975   11.422708553   11.422632112
    1.126126126   11.429138790   11.429116367   11.429039917
    1.131131131   11.435584458   11.435562035   11.435485576
    1.136136136   11.442068128   11.442045703   11.441969237
    1.141141141   11.448589947   11.448567521   11.448491046
    1.146146146   11.455150065   11.455127638   11.455051154
    1.151151151   11.461748632   11.461726204   11.461649711
    1.156156156   11.468385799   11.468363370   11.468286869
    1.161161161   11.475061721   11.475039291   11.474962781
    1.166166166   11.481776552   11.481754120   11.481677602
    1.171171171   11.488530446   11.488508014   11.488431487
    1.176176176   11.495323562   11.495301129   11.495224593
    1.181181181   11.502156058   11.502133624   11.502057079
    1.186186186   11.509028093   11.509005658   11.508929104
    1.191191191   11.515939828   11.515917392   11.515840829
    1.196196196   11.522891427   11.522868989   11.522792417
    1.201201201   11.529883051   11.529860613   11.529784032
    1.206206206   11.536914868   11.536892428   11.536815838
    1.211211211   11.543987043   11.543964602   11.543888003
    1.216216216   11.551099744   11.551077302   11.551000693
    1.221221221   11.558253140   11.558230697   11.558154080
    1.226226226   11.565447403   11.565424959   11.565348332
    1.231231231   11.572682705   11.572660260   11.572583624
    1.236236236   11.579959219   11.579936773   11.579860127
    1.241241241   11.587277121   11.587254673   11.587178018
    1.246246246   11.594636587   11.594614138   11.594537474
    1.251251251   11.602037795   11.602015345   11.601938671
    1.256256256   11.609480926   11.609458475   11.609381791
    1.261261261   11.616966159   11.616943707   11.616867014
    1.266266266   11.624493679   11.624471226   11.624394523
    1.271271271   11.632063670   11.632041215   11.631964502
    1.276276276   11.639676316   11.639653861   11.639577138
    1.281281281   11.647331807   11.647309350   11.647232618
    1.286286286   11.655030330   11.655007872   11.654931130
    1.291291291   11.662772077   11.662749618   11.662672865
    1.296296296   11.670557239   11.670534779   11.670458017
    1.301301301   11.678386012   11.678363551   11.678286778
    1.306306306   11.686258590   11.686236127   11.686159345
    1.311311311   11.694175170   11.694152707   11.694075914
    1.316316316   11.702135953   11.702113488   11.702036685
    1.321321321   11.710141138   11.710118672   11.710041859
    1.326326326   11.718190928   11.718168461   11.718091637
    1.331331331   11.726285527   11.726263059   11.726186225
    1.336336336   11.734425141   11.734402672   11.734325827
    1.341341341   11.742609978   11.742587507   11.742510652
