# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.265265265    7.322336222    7.322336474    7.322332889
    0.270270270    7.320810317    7.320810569    7.320806986
    0.275275275    7.319265647    7.319265899    7.319262317
    0.280280280    7.317702241    7.317702492    7.317698912
    0.285285285    7.316120127    7.316120378    7.316116799
    0.290290290    7.314519334    7.314519585    7.314516008
    0.295295295    7.312899891    7.312900143    7.312896567
    0.300300300    7.311261828    7.311262080    7.311258506
    0.305305305    7.309605176    7.309605428    7.309601855
    0.310310310    7.307929964    7.307930215    7.307926644
    0.315315315    7.306236222    7.306236474    7.306232904
    0.320320320    7.304523983    7.304524235    7.304520666
    0.325325325    7.302793276    7.302793528    7.302789961
    0.330330330    7.301044135    7.301044387    7.301040821
    0.335335335    7.299276590    7.299276841    7.299273277
    0.340340340    7.297490673    7.297490925    7.297487363
    0.345345345    7.295686418    7.295686670    7.295683109
    0.350350350    7.293863857    7.293864109    7.293860550
    0.355355355    7.292023023    7.292023275    7.292019717
    0.360360360    7.290163950    7.290164202    7.290160646
    0.365365365    7.288286672    7.288286923    7.288283369
    0.370370370    7.286391222    7.286391473    7.286387921
    0.375375375    7.284477634    7.284477886    7.284474335
    0.380380380    7.282545945    7.282546197    7.282542647
    0.385385385    7.280596188    7.280596440    7.280592892
    0.390390390    7.278628399    7.278628651    7.278625105
    0.395395395    7.276642613    7.276642865    7.276639321
    0.400400400    7.274638867    7.274639119    7.274635576
    0.405405405    7.272617196    7.272617448    7.272613907
    0.410410410    7.270577637    7.270577889    7.270574350
    0.415415415    7.268520227    7.268520479    7.268516942
    0.420420420    7.266445003    7.266445255    7.266441719
    0.425425425    7.264352002    7.264352254    7.264348720
    0.430430430    7.262241262    7.262241513    7.262237981
    0.435435435    7.260112820    7.260113072    7.260109541
    0.440440440    7.257966715    7.257966967    7.257963438
    0.445445445    7.255802986    7.255803237    7.255799711
    0.450450450    7.253621670    7.253621922    7.253618397
    0.455455455    7.251422808    7.251423060    7.251419537
    0.460460460    7.249206439    7.249206690    7.249203169
    0.465465465    7.246972601    7.246972853    7.246969333
    0.470470470    7.244721335    7.244721587    7.244718069
    0.475475475    7.242452682    7.242452933    7.242449418
    0.480480480    7.240166681    7.240166932    7.240163418
    0.485485485    7.237863373    7.237863624    7.237860112
    0.490490490    7.235542799    7.235543050    7.235539540
    0.495495495    7.233205000    7.233205251    7.233201743
    0.500500501    7.230850018    7.230850269    7.230846763
    0.505505506    7.228477895    7.228478146    7.228474642
    0.510510511    7.226088672    7.226088923    7.226085421
    0.515515516    7.223682391    7.223682642    7.223679142
    0.520520521    7.221259096    7.221259347    7.221255849
    0.525525526    7.218818829    7.218819080    7.218815584
    0.530530531    7.216361632    7.216361883    7.216358389
    0.535535536    7.213887550    7.213887801    7.213884309
    0.540540541    7.211396626    7.211396877    7.211393387
    0.545545546    7.208888903    7.208889154    7.208885665
    0.550550551    7.206364425    7.206364676    7.206361190
    0.555555556    7.203823237    7.203823487    7.203820004
    0.560560561    7.201265383    7.201265633    7.201262151
    0.565565566    7.198690907    7.198691158    7.198687678
    0.570570571    7.196099855    7.196100106    7.196096628
    0.575575576    7.193492273    7.193492523    7.193489048
    0.580580581    7.190868204    7.190868454    7.190864981
    0.585585586    7.188227695    7.188227946    7.188224474
    0.590590591    7.185570792    7.185571042    7.185567573
    0.595595596    7.182897541    7.182897791    7.182894324
    0.600600601    7.180207988    7.180208238    7.180204773
    0.605605606    7.177502179    7.177502429    7.177498967
    0.610610611    7.174780162    7.174780412    7.174776951
    0.615615616    7.172041983    7.172042233    7.172038775
    0.620620621    7.169287689    7.169287939    7.169284483
    0.625625626    7.166517329    7.166517579    7.166514125
    0.630630631    7.163730949    7.163731199    7.163727747
    0.635635636    7.160928597    7.160928847    7.160925397
    0.640640641    7.158110321    7.158110571    7.158107124
    0.645645646    7.155276170    7.155276420    7.155272975
    0.650650651    7.152426192    7.152426442    7.152422999
    0.655655656    7.149560436    7.149560685    7.149557245
    0.660660661    7.146678950    7.146679199    7.146675761
    0.665665666    7.143781783    7.143782032    7.143778597
    0.670670671    7.140868985    7.140869234    7.140865801
    0.675675676    7.137940605    7.137940854    7.137937423
    0.680680681    7.134996692    7.134996942    7.134993513
    0.685685686    7.132037297    7.132037546    7.132034120
    0.690690691    7.129062470    7.129062719    7.129059294
    0.695695696    7.126072260    7.126072508    7.126069087
    0.700700701    7.123066717    7.123066966    7.123063547
    0.705705706    7.120045893    7.120046142    7.120042725
    0.710710711    7.117009839    7.117010087    7.117006673
    0.715715716    7.113958604    7.113958853    7.113955440
    0.720720721    7.110892240    7.110892489    7.110889079
    0.725725726    7.107810799    7.107811047    7.107807640
    0.730730731    7.104714331    7.104714579    7.104711174
    0.735735736    7.101602888    7.101603136    7.101599734
    0.740740741    7.098476523    7.098476771    7.098473370
    0.745745746    7.095335286    7.095335534    7.095332136
    0.750750751    7.092179230    7.092179478    7.092176082
    0.755755756    7.089008407    7.089008654    7.089005262
    0.760760761    7.085822869    7.085823117    7.085819726
    0.765765766    7.082622670    7.082622917    7.082619529
    0.770770771    7.079407861    7.079408108    7.079404723
    0.775775776    7.076178495    7.076178743    7.076175360
    0.780780781    7.072934626    7.072934874    7.072931493
    0.785785786    7.069676307    7.069676554    7.069673176
    0.790790791    7.066403590    7.066403837    7.066400462
    0.795795796    7.063116530    7.063116777    7.063113404
    0.800800801    7.059815180    7.059815426    7.059812056
    0.805805806    7.056499593    7.056499839    7.056496472
    0.810810811    7.053169823    7.053170070    7.053166705
    0.815815816    7.049825925    7.049826171    7.049822809
    0.820820821    7.046467952    7.046468198    7.046464838
    0.825825826    7.043095958    7.043096205    7.043092847
    0.830830831    7.039709999    7.039710245    7.039706891
    0.835835836    7.036310128    7.036310374    7.036307022
    0.840840841    7.032896400    7.032896646    7.032893297
    0.845845846    7.029468870    7.029469116    7.029465769
    0.850850851    7.026027593    7.026027839    7.026024495
    0.855855856    7.022572623    7.022572869    7.022569527
    0.860860861    7.019104016    7.019104262    7.019100923
    0.865865866    7.015621827    7.015622072    7.015618736
    0.870870871    7.012126111    7.012126356    7.012123023
    0.875875876    7.008616924    7.008617169    7.008613838
    0.880880881    7.005094320    7.005094566    7.005091237
    0.885885886    7.001558357    7.001558602    7.001555276
    0.890890891    6.998009089    6.998009334    6.998006011
